instructions_detailed_id,root_id,ingredient,line
"1","1","plain flour","250g/8¾oz plain flour, plus extra for dusting"
"2","1","olive oil","8 tbsp olive oil"
"3","1","null","2 tsp water"
"4","1","salt","1 tsp sea salt"
"5","1","tomato purée","4 tbsp tomato purée"
"6","1","shiitake mushrooms","60g/2¼oz shiitake mushrooms, sliced"
"7","1","prosciutto","4 slices prosciutto"
"8","1","gorgonzola","100g/3½oz gorgonzola cheese"
"9","1","egg","1 free-range egg"
